Changed database context to 'adventureworks'.
CompanyName                                                                                                                      SalesPerson                                                                                                                                                                                                                                                      TotalSales           
Engineered Bike Systems                                                                                                          adventure-works\shu0                                                                                                                                                                                                                                                         3754.9733
Futuristic Bikes                                                                                                                 adventure-works\shu0                                                                                                                                                                                                                                                          272.6468
Many Bikes Store                                                                                                                 adventure-works\shu0                                                                                                                                                                                                                                                        81834.9826
Paints and Solvents Company                                                                                                      adventure-works\shu0                                                                                                                                                                                                                                                        14017.9083
The Bicycle Accessories Company                                                                                                  adventure-works\shu0                                                                                                                                                                                                                                                          117.7276
Trailblazing Sports                                                                                                              adventure-works\shu0                                                                                                                                                                                                                                                        45992.3665
Transport Bikes                                                                                                                  adventure-works\shu0                                                                                                                                                                                                                                                          665.4251
NULL                                                                                                                             adventure-works\shu0                                                                                                                                                                                                                                                       152619.1246
NULL                                                                                                                             NULL                                                                                                                                                                                                                                                                       956303.5949
Action Bicycle Specialists                                                                                                       NULL                                                                                                                                                                                                                                                                       119960.8240
Aerobic Exercise Company                                                                                                         NULL                                                                                                                                                                                                                                                                         2361.6403
Bulk Discount Store                                                                                                              NULL                                                                                                                                                                                                                                                                        98138.2131
Central Bicycle Specialists                                                                                                      NULL                                                                                                                                                                                                                                                                           43.0437
Channel Outlet                                                                                                                   NULL                                                                                                                                                                                                                                                                          608.1766
Closest Bicycle Store                                                                                                            NULL                                                                                                                                                                                                                                                                        39531.6085
Coalition Bike Company                                                                                                           NULL                                                                                                                                                                                                                                                                         2669.3183
Discount Tours                                                                                                                   NULL                                                                                                                                                                                                                                                                         3293.7761
Eastside Department Store                                                                                                        NULL                                                                                                                                                                                                                                                                        92663.5609
Engineered Bike Systems                                                                                                          NULL                                                                                                                                                                                                                                                                         3754.9733
Essential Bike Works                                                                                                             NULL                                                                                                                                                                                                                                                                           45.1995
Extreme Riding Supplies                                                                                                          NULL                                                                                                                                                                                                                                                                        63686.2708
Futuristic Bikes                                                                                                                 NULL                                                                                                                                                                                                                                                                          272.6468
Good Toys                                                                                                                        NULL                                                                                                                                                                                                                                                                          972.7850
Instruments and Parts Company                                                                                                    NULL                                                                                                                                                                                                                                                                        70698.9922
Many Bikes Store                                                                                                                 NULL                                                                                                                                                                                                                                                                        81834.9826
Metropolitan Bicycle Supply                                                                                                      NULL                                                                                                                                                                                                                                                                       108597.9536
Nearby Cycle Shop                                                                                                                NULL                                                                                                                                                                                                                                                                        42452.6519
Paints and Solvents Company                                                                                                      NULL                                                                                                                                                                                                                                                                        14017.9083
Professional Sales and Service                                                                                                   NULL                                                                                                                                                                                                                                                                        43962.7901
Remarkable Bike Store                                                                                                            NULL                                                                                                                                                                                                                                                                         7330.8972
Riding Cycles                                                                                                                    NULL                                                                                                                                                                                                                                                                        86222.8072
Sports Products Store                                                                                                            NULL                                                                                                                                                                                                                                                                         3673.3249
Sports Store                                                                                                                     NULL                                                                                                                                                                                                                                                                         2711.4098
Tachometers and Accessories                                                                                                      NULL                                                                                                                                                                                                                                                                         2228.0566
The Bicycle Accessories Company                                                                                                  NULL                                                                                                                                                                                                                                                                          117.7276
Thrifty Parts and Sales                                                                                                          NULL                                                                                                                                                                                                                                                                         1261.4440
Thrilling Bike Tours                                                                                                             NULL                                                                                                                                                                                                                                                                        15275.1977
Trailblazing Sports                                                                                                              NULL                                                                                                                                                                                                                                                                        45992.3665
Transport Bikes                                                                                                                  NULL                                                                                                                                                                                                                                                                          665.4251
Vigorous Sports Store                                                                                                            NULL                                                                                                                                                                                                                                                                         1170.5376
West Side Mart                                                                                                                   NULL                                                                                                                                                                                                                                                                           87.0851

(68 rows affected)
