Changed database context to 'adventureworks'.
Salesperson                                                                                                                                                                                                                                                      CustomerName                                                Phone                    
adventure-works\shu0                                                                                                                                                                                                                                             Sr. De Matos Miranda Filho                                  551-555-0155             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Armstrong                                               226-555-0146             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Miller                                                  140-555-0192             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Miller                                                  207-555-0167             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Dean                                                    767-555-0151             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Beebe                                                   277-555-0169             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Miller                                                  1 (11) 500 555-0176      
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Brown                                                   689-555-0130             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Miller                                                  918-555-0127             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Gode                                                    164-555-0145             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Vicknair                                                695-555-0158             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Vessa                                                   560-555-0171             
adventure-works\shu0                                                                                                                                                                                                                                              Berglund                                                   795-555-0116             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Goktepe                                                 637-555-0120             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Vernon                                                  433-555-0168             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Verdad                                                  155-555-0140             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Berger                                                  156-555-0111             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Goldstein                                               495-555-0161             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Venugopal                                               1 (11) 500 555-0195      
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Vasquez                                                 490-555-0132             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Burkhardt                                               652-555-0132             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Gonzalez                                                121-555-0139             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Varkey Chudukatil                                       810-555-0160             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Burkhardt                                               857-555-0187             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Alpuerto                                                855-555-0174             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Vargas                                                  112-555-0176             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Kim                                                     155-555-0149             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Campbell                                                700-555-0155             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Amland                                                  614-555-0134             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Kim                                                     1 (11) 500 555-0144      
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Antrim                                                  327-555-0148             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Khanna                                                  390-555-0150             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Crow                                                    889-555-0176             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Ashton                                                  556-555-0145             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Khan                                                    249-555-0179             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Creasey                                                 539-555-0182             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Atkinson                                                129-555-0110             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Khan                                                    145-555-0166             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Keyser                                                  656-555-0173             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Costa Da Silva                                          140-555-0143             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Swan                                                    421-555-0192             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Kesslep                                                 1 (11) 500 555-0146      
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Coriell                                                 941-555-0155             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Kennedy                                                 275-555-0179             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Corets                                                  542-555-0164             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Taft-Rider                                              145-555-0194             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Kelly                                                   510-555-0123             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Cooper                                                  773-555-0182             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Tatman                                                  787-555-0128             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Kelly                                                   330-555-0116             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Kelley                                                  112-555-0195             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Contreras                                               428-555-0176             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Taylor                                                  204-555-0189             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Kearney                                                 1 (11) 500 555-0116      
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Brunner                                                 249-555-0172             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Katyal                                                  928-555-0117             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Bruner                                                  383-555-0155             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Tedford                                                 588-555-0128             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Houston                                                 632-555-0171             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Johnston                                                883-555-0177             
adventure-works\linda3                                                                                                                                                                                                                                           Ms. Berch                                                   640-555-0198             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Holman                                                  996-555-0196             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Holmes                                                  570-555-0199             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Avalos                                                  665-555-0198             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Berger                                                  519-555-0151             
adventure-works\jae0                                                                                                                                                                                                                                             Ms. Holloway                                                1 (11) 500 555-0181      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Chapman                                                 708-555-0169             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Barbariol                                               134-555-0182             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Choin                                                   273-555-0181             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Chapla                                                  223-555-0184             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Banks                                                   816-555-0118             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Chor                                                    429-555-0145             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Chandler                                                448-555-0179             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Bowen                                                   371-555-0143             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Jiang                                                   910-555-0116             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Bruno                                                   817-555-0114             
adventure-works\jae0                                                                                                                                                                                                                                             Sr. Camargo                                                 1 (11) 500 555-0118      
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Baldwin                                                 583-555-0130             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Camacho                                                 827-555-0143             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Bailey                                                  234-555-0112             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Elliott                                                 847-555-0151             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Calone                                                  145-555-0152             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Burke                                                   148-555-0149             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Booth                                                   121-555-0157             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Elliott                                                 425-555-0158             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Elson                                                   185-555-0190             
adventure-works\josé1                                                                                                                                                                                                                                            Sra. Bueno                                                  476-555-0184             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Beasley                                                 396-555-0187             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Eminhizer                                               1 (11) 500 555-0176      
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Emory                                                   691-555-0149             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Trau                                                    398-555-0167             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Ganio                                                   672-555-0112             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Erickson                                                834-555-0132             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Tran                                                    740-555-0159             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Galos                                                   912-555-0149             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Erickson                                                962-555-0112             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Espinoza                                                753-555-0179             
adventure-works\josé1                                                                                                                                                                                                                                            Mr. Track                                                   907-555-0170             
adventure-works\garrett1                                                                                                                                                                                                                                         Mr. Gage                                                    962-555-0175             
adventure-works\jae0                                                                                                                                                                                                                                             Sra. Esteves                                                1 (11) 500 555-0136      
adventure-works\michael9                                                                                                                                                                                                                                         Mr. Fulton                                                  492-555-0146             
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Evans                                                   554-555-0124             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Toone                                                   328-555-0192             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Ford                                                    596-555-0153             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Evans                                                   252-555-0127             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Krane                                                   731-555-0187             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Frintu                                                  777-555-0163             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Evans                                                   581-555-0172             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Styles                                                  512-555-0122             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Kane                                                    765-555-0141             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. French                                                  994-555-0194             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Suess                                                   1 (11) 500 555-0199      
adventure-works\pamela0                                                                                                                                                                                                                                          Ms. Suffin                                                  924-555-0195             
adventure-works\david8                                                                                                                                                                                                                                           Ms. Smith                                                   959-555-0151             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Fox                                                     191-555-0198             
adventure-works\jillian0                                                                                                                                                                                                                                         Ms. Sullivan                                                306-555-0112             
adventure-works\shu0                                                                                                                                                                                                                                             Ms. Adams                                                   991-555-0183             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Fort                                                    768-555-0125             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Sullivan                                                323-555-0113             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Sultan                                                  613-555-0116             
adventure-works\josé1                                                                                                                                                                                                                                            Ms. Alberts                                                 727-555-0115             
adventure-works\garrett1                                                                                                                                                                                                                                         Ms. Focht                                                   272-555-0123             
adventure-works\jae0                                                                                                                                                                                                                                             Mr. Sunkammurali                                            1 (11) 500 555-0177      
adventure-works\michael9                                                                                                                                                                                                                                         Ms. Black                                                   264-555-0143             
adventure-works\pamela0                                                                                                                                                                                                                                          Mr. Sutton                                                  688-555-0115             
adventure-works\david8                                                                                                                                                                                                                                           Mr. Ferrier                                                 571-555-0128             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Bishop                                                  176-555-0136             
adventure-works\jillian0                                                                                                                                                                                                                                         Mr. Svoboda                                                 132-555-0149             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Ahlering                                                678-555-0175             
adventure-works\linda3                                                                                                                                                                                                                                           Mr. Bischoff                                                992-555-0111             
adventure-works\shu0                                                                                                                                                                                                                                             Mr. Swearengin                                              926-555-0136             
